Name,RA,DEC,DF Source,#bib,#not,Name list,Type list,Redshift Flag,RA list,DEC list,#bib list,#not list,Redshift Flag list,Redshift list
SDSS J0004-0103:[SBD2020] 1b.3,1.2148,-1.05519,"['N', 'N', 'N', 'N']",,,"['SDSS J0004-0103:[SBD2020] 1b.3', 'SDSS J0004-0103:[SBD2020] 1c.1', 'DES J0004-0103:[DBL2017] 2', 'SDSS J0004-0103:[SBD2020] 1.3']","['G_Lens', 'G_Lens', 'G_Lens', 'G_Lens']",,"[1.2148, 1.2148, 1.21478, 1.21476]","[-1.05519, -1.05531, -1.05536, -1.05537]","[1.0, 1.0, 1.0, nan]","[0.0, 0.0, 0.0, nan]","[nan, nan, 'PHOT', nan]","[nan, nan, 0.45, nan]"
SDSS J2111-0115:[OHG2009] A1,317.82788,-1.24111,['N'],,,['SDSS J2111-0115:[OHG2009] A1'],['G_Lens'],,[317.82788],[-1.24111],[1.0],[0.0],['SPEC'],[2.858]
SDSS J2111-0115:[OHG2009] B2,317.82842,-1.24167,"['N', 'N', 'N']",,,"['SDSS J2111-0115:[OHG2009] B2', 'SDSS J2111-0114:[SBD2020] 1b.1', 'SDSS J2111-0114:[SBD2020] 1b.2']","['G_Lens', 'G_Lens', 'G_Lens']",,"[317.82842, 317.82834, 317.82845]","[-1.24167, -1.24177, -1.24186]","[1.0, 1.0, 1.0]","[0.0, 0.0, 0.0]","[nan, nan, nan]","[nan, nan, nan]"
SDSS J2111-0115:[OHG2009] B1,317.82829,-1.24142,['N'],,,['SDSS J2111-0115:[OHG2009] B1'],['G_Lens'],,[317.82829],[-1.24142],[1.0],[0.0],[nan],[nan]
SGAS J211118.9-011431,317.82917,-1.24222,"['N', 'N']",,,"['SGAS J211118.9-011431', 'SDSS J2111-0114:[SBD2020] 1c.1']","['G_Lens', 'G_Lens']",,"[317.82917, 317.82891]","[-1.24222, -1.24225]","[1.0, nan]","[0.0, nan]","['SPEC', nan]","[2.859, nan]"
SDSS J2111-0114:[SBD2020] 1c.2,317.82794,-1.24159,"['N', 'N']",,,"['SDSS J2111-0114:[SBD2020] 1c.2', 'SDSS J2111-0114:[SBD2020] 1d.2']","['G_Lens', 'G_Lens']",,"[317.82794, 317.82812]","[-1.24159, -1.24158]","[1.0, 1.0]","[0.0, 0.0]","[nan, nan]","[nan, nan]"
SDSS J2111-0114:[SBD2020] 2.1,317.83386,-1.24121,['N'],,,['SDSS J2111-0114:[SBD2020] 2.1'],['G_Lens'],,[317.83386],[-1.24121],[1.0],[0.0],[nan],[nan]
SDSS J2111-0114:[SBD2020] 2.2,317.83274,-1.24178,['N'],,,['SDSS J2111-0114:[SBD2020] 2.2'],['G_Lens'],,[317.83274],[-1.24178],[1.0],[0.0],[nan],[nan]
SDSS J2111-0115:[OHG2009] C1,317.82708,-1.24094,['N'],,,['SDSS J2111-0115:[OHG2009] C1'],['G_Lens'],,[317.82708],[-1.24094],[1.0],[0.0],['PHOT'],[0.19]
SDSS J2111-0115:[OHG2009] C2,317.83071,-1.24278,['N'],,,['SDSS J2111-0115:[OHG2009] C2'],['G_Lens'],,[317.83071],[-1.24278],[1.0],[0.0],[nan],[nan]
SDSS J2111-0115:[OHG2009] C3,317.83387,-1.24244,['N'],,,['SDSS J2111-0115:[OHG2009] C3'],['G_Lens'],,[317.83387],[-1.24244],[1.0],[0.0],['SPEC'],[2.856]
RCS J0224-0002:[SSM2017] A01,36.14083,-0.03824,['N'],,,['RCS J0224-0002:[SSM2017] A01'],['G_Lens'],,[36.14083],[-0.03824],[1.0],[0.0],['    '],[4.88]
RCS J0224-0002:[SSM2017] A02,36.13983,-0.03901,['N'],,,['RCS J0224-0002:[SSM2017] A02'],['G_Lens'],,[36.13983],[-0.03901],[1.0],[0.0],['    '],[4.88]
RCS J0224-0002:[SSM2017] A03,36.13874,-0.04075,['N'],,,['RCS J0224-0002:[SSM2017] A03'],['G_Lens'],,[36.13874],[-0.04075],[1.0],[0.0],['    '],[4.88]
[SBS2007] R1,36.14361,-0.04299,['N'],,,['[SBS2007] R1'],['G_Lens'],,[36.14361],[-0.04299],[1.0],[0.0],['1LIN'],[4.879]
RCS J0224-0002:[SSM2017] B01,36.14475,-0.04237,['N'],,,['RCS J0224-0002:[SSM2017] B01'],['G_Lens'],,[36.14475],[-0.04237],[1.0],[0.0],['SPEC'],[2.395]
RCS J0224-0002:[SSM2017] B02,36.14509,-0.04123,['N'],,,['RCS J0224-0002:[SSM2017] B02'],['G_Lens'],,[36.14509],[-0.04123],[1.0],[0.0],['SPEC'],[2.395]
RCS J0224-0002:[SSM2017] B03,36.14368,-0.03954,['N'],,,['RCS J0224-0002:[SSM2017] B03'],['G_Lens'],,[36.14368],[-0.03954],[1.0],[0.0],['SPEC'],[2.395]
RCS J0224-0002:[SSM2017] B04,36.14166,-0.03989,['N'],,,['RCS J0224-0002:[SSM2017] B04'],['G_Lens'],,[36.14166],[-0.03989],[1.0],[0.0],['SPEC'],[2.395]
RCS J0224-0002:[SSM2017] B05,36.14032,-0.04356,['N'],,,['RCS J0224-0002:[SSM2017] B05'],['G_Lens'],,[36.14032],[-0.04356],[1.0],[0.0],['SPEC'],[2.395]
RCS J0224-0002:[SSM2017] B06,36.14247,-0.04186,['N'],,,['RCS J0224-0002:[SSM2017] B06'],['G_Lens'],,[36.14247],[-0.04186],[1.0],[0.0],['SPEC'],[2.395]
RCS J0224-0002:[SSM2017] C01,36.14525,-0.03784,['N'],,,['RCS J0224-0002:[SSM2017] C01'],['G_Lens'],,[36.14525],[-0.03784],[1.0],[0.0],['1LIN'],[5.498]
RCS J0224-0002:[SSM2017] C02,36.14174,-0.04342,['N'],,,['RCS J0224-0002:[SSM2017] C02'],['G_Lens'],,[36.14174],[-0.04342],[1.0],[0.0],['1LIN'],[5.498]
RCS J0224-0002:[SSM2017] D01,36.13902,-0.04316,['N'],,,['RCS J0224-0002:[SSM2017] D01'],['G_Lens'],,[36.13902],[-0.04316],[1.0],[0.0],[nan],[nan]
RCS J0224-0002:[SSM2017] D02,36.1428,-0.03824,['N'],,,['RCS J0224-0002:[SSM2017] D02'],['G_Lens'],,[36.1428],[-0.03824],[1.0],[0.0],[nan],[nan]
