Name_simbad,Type_simbad,#bib,#not,RA_simbad,DEC_simbad
[SBD2020] SDSS J0004-0103 1.3          ,LeI,1,0,1.2147541666666664,-1.0553666666666668
[SBD2020] SDSS J2111-0114 1.1          ,LeI,1,0,317.82784999999996,-1.2412027777777779
[SBD2020] SDSS J2111-0114 1a.1         ,LeI,1,0,317.82852916666667,-1.2417361111111112
[SBD2020] SDSS J2111-0114 1a.2         ,LeI,1,0,317.8282583333333,-1.241513888888889
[SBD2020] SDSS J2111-0114 1b.1         ,LeI,1,0,317.82834166666663,-1.241775
[SBD2020] SDSS J2111-0114 1b.2         ,LeI,1,0,317.82845,-1.2418583333333333
[SBD2020] SDSS J2111-0114 1c.1         ,LeI,1,0,317.8289083333333,-1.2422472222222223
[SBD2020] SDSS J2111-0114 1c.2         ,LeI,1,0,317.8279416666666,-1.2415916666666666
[SBD2020] SDSS J2111-0114 1d.1         ,LeI,1,0,317.82869999999997,-1.2420083333333334
[SBD2020] SDSS J2111-0114 1d.2         ,LeI,1,0,317.8281208333333,-1.241577777777778
[SBD2020] SDSS J2111-0114 2.1          ,LeI,1,0,317.83386249999995,-1.2412138888888888
[SBD2020] SDSS J2111-0114 2.2          ,LeI,1,0,317.83273749999995,-1.241775
[SBD2020] SDSS J2111-0114 3.1          ,LeI,1,0,317.82702499999994,-1.2411
[SBD2020] SDSS J2111-0114 3.2          ,LeI,1,0,317.8306541666666,-1.2429583333333334
[SBD2020] SDSS J2111-0114 3.3          ,LeI,1,0,317.83382083333333,-1.2426361111111113
[SSM2017b] RCS0224 A1                  ,LeG,1,0,36.140826,-0.038235783333333336
[SSM2017b] RCS0224 A2                  ,LeG,1,0,36.139832999999996,-0.039005227777777776
[SSM2017b] RCS0224 A3                  ,LeG,1,0,36.13874199999999,-0.040753058333333335
[SSM2017b] RCS0224 A4                  ,LeG,1,0,36.14348999999999,-0.04278546666666667
[SSM2017b] RCS0224 B1                  ,LeG,1,0,36.14474799999999,-0.042371597222222224
[SSM2017b] RCS0224 B2                  ,LeG,1,0,36.145090999999994,-0.041225427777777775
[SSM2017b] RCS0224 B3                  ,LeG,1,0,36.143674999999995,-0.039536975
[SSM2017b] RCS0224 B4                  ,LeG,1,0,36.141662999999994,-0.039894483333333335
[SSM2017b] RCS0224 B5                  ,LeG,1,0,36.14031599999999,-0.043556391666666666
[SSM2017b] RCS0224 B6                  ,LeG,1,0,36.14247499999999,-0.04186014444444444
[SSM2017b] RCS0224 C1                  ,LeG,1,0,36.14524999999999,-0.03783888888888889
[SSM2017b] RCS0224 C2                  ,LeG,1,0,36.141738999999994,-0.043416675
[SSM2017b] RCS0224 D1                  ,LeG,1,0,36.139019999999995,-0.043164191666666664
[SSM2017b] RCS0224 D2                  ,LeG,1,0,36.14279799999999,-0.03823783888888889
[SSM2017b] RCS0224 D3                  ,LeG,1,0,36.140497999999994,-0.039206811111111114
